Investor,Avg_Investment,Total_Investment,Num_Deals,Unique_Startups,Avg_Year,Cluster
Oman India Joint Investment Fund (OIJIF),197.27,197.27,1,1,2018.0,0
SAIF Partners and LGT Impact Ventures,184.41,184.41,1,1,2018.0,0
Subho Ray and Samir Kumar,2.57,2.57,1,1,2018.0,0
Basab Pradhan,3.86,3.86,1,1,2018.0,0
Vivek Khare and Bijoy George,3.86,3.86,1,1,2018.0,0
Rannvijay Singha,0.0,0.0,1,1,2018.0,0
Hyperplane Venture Capital and several angel investors,14.58,14.58,1,1,2018.0,0
Menterra Venture & Artha Initiatives,0.0,0.0,1,1,2018.0,0
Speciale Invest & Others,9.43,9.43,1,1,2018.0,0
Shiva Gunapu & Others,0.0,0.0,1,1,2018.0,0
Unknown High Net-Worth Individuals,3.86,3.86,1,1,2018.0,0
Kae Capital & Others,21.44,21.44,1,1,2018.0,0
Behram Vakil and Jerxis Vandrevala,8.58,8.58,1,1,2018.0,0
Sunil Munjal,103.7825,415.13,4,2,2017.25,0
Harsh Mariwala,127.22666666666667,381.68,3,1,2017.0,0
Dalip Pathak and Others,150.1,300.2,2,1,2018.0,0
Credika and unnamed angel investors,4.29,4.29,1,1,2018.0,0
RS Shanbag,6.3,6.3,1,1,2018.0,0
Insistor,17.15,17.15,1,1,2018.0,0
Ashish Kacholi,17.15,17.15,1,1,2018.0,0
Atul Gupta and Saurabh Rastogi,2.51,2.51,1,1,2018.0,0
Ashish Dhawan,77.19,154.38,2,2,2017.0,0
Catamaran Ventures,81.1575,324.63,4,3,2016.25,4
NR Narayana Murthy.,102.92,102.92,1,1,2018.0,0
Mitali Pawar,1.72,1.72,1,1,2018.0,0
Nikhil G and Bhavesh P,1.72,1.72,1,1,2018.0,0
R Ranganathan,1.72,1.72,1,1,2018.0,0
ONCOTRUST and Medintel Services Pvt. Ltd,1.72,1.72,1,1,2018.0,0
Amazon Inc. and Mastercard,68.62,68.62,1,1,2018.0,0
Treebo,0.0,0.0,1,1,2018.0,0
IndusAge Partners,102.925,205.85,2,2,2017.0,0
Bill & Melinda Gates Foundation,120.08,120.08,1,1,2018.0,0
Qualcomm Venture,80.76583333333332,969.1899999999998,12,11,2015.9166666666667,1
ABB Technology Ventures,120.08,120.08,1,1,2018.0,0
Omnivore,34.2475,136.99,4,4,2016.25,4
Accion Venture Lab,15.6525,62.61,4,4,2017.25,0
Arihant Patni of Patni Family Office,17.15,17.15,1,1,2018.0,0
Shardul Amarchand Mangaldas,17.15,17.15,1,1,2018.0,0
Satish Khanna and Taparia family office.,17.15,17.15,1,1,2018.0,0
Subhkam Ventures and Mohit Khadaria,2.64,2.64,1,1,2018.0,0
Vishal Bali,0.0,0.0,2,2,2017.0,0
Yogesh Misra,0.0,0.0,1,1,2018.0,0
Thomas Assessments and others,0.0,0.0,1,1,2018.0,0
ChrysCapital,506.045,1012.09,2,2,2016.5,4
Existing investors,720.47,7204.7,10,10,2016.2,1
Elevar Equity,207.564,1037.82,5,5,2016.2,4
Maheshwar Peri,7.08,14.16,2,2,2017.5,0
founder and chairman of career information portal Careers360,1.29,1.29,1,1,2018.0,0
and Jamshed Jeejeebhoy,1.29,1.29,1,1,2018.0,0
director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels,1.29,1.29,1,1,2018.0,0
Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,24.02,24.02,1,1,2018.0,0
Investopad,0.0,0.0,2,2,2017.0,0
Lightspeed India,121.12666666666664,1090.14,9,8,2016.6666666666667,1
Amit Ranjan,1.5225,12.18,8,8,2015.875,4
Fundamentum,102.92,102.92,1,1,2018.0,0
RB investments & Others,102.92,102.92,1,1,2018.0,0
BlueOrchard Finance Ltd,39.45,39.45,1,1,2018.0,0
Hinduja Leyland Finance and IntelleGrow,39.45,39.45,1,1,2018.0,0
Mr. Manoj Prasad,4.29,4.29,1,1,2018.0,0
Madhusudhan Kannan,0.0,0.0,1,1,2018.0,0
Jayant Kadambi,0.0,0.0,1,1,2018.0,0
Puneet Gupta and Pradeep K Jaisingh,0.0,0.0,1,1,2018.0,0
Transamerica and others.,188.69,188.69,1,1,2018.0,0
Shilpa Shetty Kundra,0.0,0.0,1,1,2018.0,0
Line Ventures Corporation,197.27,197.27,1,1,2018.0,0
Line Corp,197.27,197.27,1,1,2018.0,0
Shinhan Bank and TS Investment,197.27,197.27,1,1,2018.0,0
Biz Stone,15.723333333333334,47.17,3,2,2016.0,4
Kunal Bahl,11.32,135.84,12,12,2015.4166666666667,1
Rohit Bansal,11.95909090909091,131.55,11,11,2015.4545454545453,1
Alagu Periyannan and Karthee Madasamy,0.0,0.0,1,1,2018.0,0
Vidal Healthcare,16.3,16.3,1,1,2018.0,0
GEMS Advisory,1.0533333333333337,3.16,3,2,2016.6666666666667,0
Alok Mittal and Sachin Bhatia,2.11,2.11,1,1,2018.0,0
OPPO,33.62,168.1,5,5,2016.8,0
GREE Ventures and Summit Media,47.17,47.17,1,1,2018.0,0
Nandan Nilekani,50.85416666666666,610.25,12,10,2016.3333333333333,1
Maverick Capital Ltd and HBM Healthcare Investments Ltd,85.77,85.77,1,1,2018.0,0
Baskar Subramanian,2.14,2.14,1,1,2018.0,0
Saket Kumar,2.14,2.14,1,1,2018.0,0
Gaurav Suri and Ankit Kesarwani,2.14,2.14,1,1,2018.0,0
Ranjan Pai,13.51,54.04,4,4,2017.0,0
Apoorva Patni,18.01,18.01,1,1,2018.0,0
HDFC Life,85.77,85.77,1,1,2018.0,0
HDFC Asset Management,85.77,85.77,1,1,2018.0,0
Avendus Finance Pvt. Ltd,83.2,83.2,1,1,2018.0,0
Aegon NV,65.19,65.19,1,1,2018.0,0
State Street Global Advisors,329.36,329.36,1,1,2018.0,0
Actis,703.31,703.31,1,1,2018.0,0
Sudhakar Pennam,0.0,0.0,1,1,2018.0,0
and other tech investors from Silicon Valley,0.0,0.0,1,1,2018.0,0
Bhavish Aggarwal,49.17333333333334,147.52,3,3,2016.6666666666667,0
Ankit Bhati,49.17333333333334,147.52,3,3,2016.6666666666667,0
Tiger Global and Apoletto Managers.,531.77,531.77,1,1,2018.0,0
1Crowd,3.495000000000001,27.960000000000004,8,7,2016.625,4
Amit Burman,25.73,25.73,1,1,2018.0,0
Jessica Wong,0.0,0.0,1,1,2018.0,0
Hiro Mashita,0.0,0.0,3,3,2016.3333333333333,4
Xue Manzi and Yiyun Zhang.,0.0,0.0,1,1,2018.0,0
Kumar Vembu,15.44,30.88,2,2,2017.5,0
Initia Holdings,8.58,8.58,1,1,2018.0,0
Vipin Agarwal and others.,8.58,8.58,1,1,2018.0,0
Unicorn India Ventures and ISME ACE.,17.15,17.15,1,1,2018.0,0
Ratan Tata,20.920689655172417,606.7,29,27,2015.7586206896551,1
Tracxn Labs,2.841875,45.47,16,14,2015.75,1
Patni family office and Axis Capital.,0.0,0.0,1,1,2018.0,0
Alibaba,2941.912,14709.56,5,5,2016.4,3
Girnar Software,17.15,17.15,1,1,2018.0,0
Bhavesh Manglani,0.0,0.0,1,1,2018.0,0
Suraj Saharan,0.0,0.0,2,2,2017.5,0
Darshan Upadhyay,0.0,0.0,1,1,2018.0,0
Sanjay Notani & Others,0.0,0.0,1,1,2018.0,0
Sandeep Mathur,430.565,861.13,2,2,2017.5,0
British and Indian Governments,0.0,0.0,1,1,2018.0,0
Social Capital,68.615,137.23,2,2,2017.5,0
Ashok Kumar Gajera,2.67,2.67,1,1,2018.0,0
Tribe Impact Capital LLP,0.0,0.0,1,1,2018.0,0
Michael & Susan Dell Foundation,43.144,215.72,5,4,2016.2,4
Kalpavriksh,25.73,25.73,1,1,2018.0,0
Dewang Neralla,2.145,4.29,2,2,2016.5,4
Mahesh Kothurkar,4.29,4.29,1,1,2018.0,0
Michael Patrick Hickey,1.27,1.27,1,1,2018.0,0
Mohammed Khan,1.075,2.15,2,1,2017.5,0
Sameer Narayan & Others,1.075,2.15,2,1,2017.5,0
Wargburg Pincus,171.54,171.54,1,1,2018.0,0
PNC,0.0,0.0,1,1,2018.0,0
Auxano Deals,6.63,6.63,1,1,2018.0,0
Kris Gopalakrishnan,79.97200000000001,799.72,10,10,2016.1,1
Pratithi Investment Trust,8.92,8.92,1,1,2018.0,0
Dr Devi Shetty,0.0,0.0,1,1,2018.0,0
Amit Manocha and others,2.14,2.14,1,1,2018.0,0
Times Internet,188.38857142857145,2637.44,14,14,2015.9285714285716,1
Unitus Seed Fund,9.20611111111111,165.70999999999998,18,16,2015.888888888889,1
Rohan Agila,0.0,0.0,1,1,2018.0,0
Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,40.31,40.31,1,1,2018.0,0
Amazon-Patni JV,161.59,161.59,1,1,2018.0,0
Pankaj Chopra,0.69,0.69,1,1,2018.0,0
Ankush Gupta,0.69,0.69,1,1,2018.0,0
Indian fintech fund,3.04,3.04,1,1,2018.0,0
Rainmatter,2.742,13.71,5,5,2016.2,4
Sunil Kant Munjal,214.42,214.42,1,1,2018.0,0
Hero Electronixs corporate financing arm,214.42,214.42,1,1,2018.0,0
Electronic Development Fund,214.42,214.42,1,1,2018.0,0
Goldman Sachs,540.7185714285714,3785.03,7,6,2016.7142857142856,1
Polaris Fund,8.58,8.58,1,1,2018.0,0
Incubate Fund India,0.0,0.0,1,1,2018.0,0
Anuj Agrawal,0.0,0.0,1,1,2018.0,0
DMI Finance,34.31,34.31,1,1,2018.0,0
Touchstone Equities,12.87,12.87,1,1,2018.0,0
BVR Mohan Reddy,6.435,12.87,2,2,2016.5,4
Shivani Singh,8.58,8.58,1,1,2018.0,0
Rahul Maroli,8.58,8.58,1,1,2018.0,0
Green Shots Capital,8.58,17.16,2,2,2017.5,0
Real Time Ventures.,8.58,8.58,1,1,2018.0,0
Scale Minds,0.0,0.0,1,1,2017.0,0
Apis Partner,407.41,814.8199999999999,2,2,2016.5,4
Eduardo Saverin,98.635,197.27,2,2,2016.5,4
Aamir Khan,10.29,10.29,1,1,2017.0,0
Hyderabad Angels,4.1610000000000005,41.61000000000001,10,10,2016.1,1
Rakesh Jhunjhunwala,253.02,506.04,2,2,2017.0,0
Mohan Tanksale,0.0,0.0,1,1,2017.0,0
Darshak Shah,0.0,0.0,1,1,2017.0,0
Mandar Mhatre,0.0,0.0,1,1,2017.0,0
RoundGlass Partners LLC,2.14,2.14,1,1,2017.0,0
Mountain Pain Capital,4.61,4.61,1,1,2017.0,0
InsuResillience Investment Fund,0.0,0.0,1,1,2017.0,0
Costanoa,81.48,81.48,1,1,2017.0,0
Swati Gupta,12.87,12.87,1,1,2017.0,0
Purnima Khandelwal,12.87,12.87,1,1,2017.0,0
E-City VEntures Atul Goel,8.58,8.58,1,1,2017.0,0
"Ontario Teachers'""",167.25,167.25,1,1,2017.0,0
Aneesh Reddy,5.195714285714286,36.37,7,7,2015.857142857143,4
Gaurav Gupta,0.0,0.0,2,2,2016.0,4
Jones Lang LaSalle,32.59,32.59,1,1,2017.0,0
Manish Poddar,4.89,4.89,1,1,2017.0,0
Arun Garg,4.89,4.89,1,1,2017.0,0
Parmeshwar Sharma,4.89,4.89,1,1,2017.0,0
Jayant Humbarwadi,0.0,0.0,1,1,2017.0,0
Nazara Technologies,0.0,0.0,2,2,2016.5,4
Deepak Jain,0.0,0.0,2,1,2017.0,0
Jim Schimdktke,0.0,0.0,1,1,2017.0,0
Titan Co Ltd,42.88,42.88,1,1,2017.0,0
Tata Groups watch and jewellery retailing firm,42.88,42.88,1,1,2017.0,0
Pioneering Ventures,25.73,25.73,1,1,2017.0,0
Syngenta AG,25.73,25.73,1,1,2017.0,0
Singtel,128.65,257.3,2,2,2016.0,4
Wipro Consumer Care,0.0,0.0,1,1,2017.0,0
GAIL India Ltd,0.0,0.0,1,1,2017.0,0
Rugmini Menon,0.0,0.0,1,1,2017.0,0
Girish Mathrubootham,4.492,67.38,15,15,2016.3333333333333,1
Apurva Chamaria,0.0,0.0,3,3,2017.0,0
Nishit Sharma,0.0,0.0,1,1,2017.0,0
Alok Srivastava,0.0,0.0,1,1,2017.0,0
Z Nation Lab,2.97,5.94,2,2,2017.0,0
Skycatcher Fund,2.82,2.82,1,1,2017.0,0
Aravind Sanka,2.82,2.82,1,1,2017.0,0
Dr. Aniruddha Malpani,1.3925,5.57,4,4,2015.75,4
MEMG CDC,223.0,223.0,1,1,2017.0,0
Global Institutional Investors,1715.4,1715.4,1,1,2017.0,0
Sandeep Aggarwal,0.0,0.0,3,3,2016.3333333333333,4
Javelin StartupO Victory Fund,2.14,2.14,1,1,2017.0,0
Amit Patni,2.97,8.91,3,3,2016.0,4
MediAssist,11.58,11.58,1,1,2017.0,0
Sachin Arora,0.0,0.0,1,1,2017.0,0
Digital Garage,61.142857142857146,428.0,7,5,2016.4285714285716,4
Sprout Angels,1.31,2.62,2,2,2016.0,4
Globevestor,4.717499999999999,18.87,4,4,2016.5,4
Carpediem Capital,27.8075,111.23,4,4,2016.5,4
Tara India Fund IV and others,68.62,68.62,1,1,2017.0,0
Das Capital and IT Farm,85.77,85.77,1,1,2017.0,0
Daffodil Software,0.0,0.0,1,1,2017.0,0
Firoze Irani,23.16,23.16,1,1,2017.0,0
Vipul Parekh,22.3,44.6,2,1,2016.5,4
Ananda Kallugadde,15.87,31.74,2,2,2016.5,4
Rajesh K Murthy,23.16,23.16,1,1,2017.0,0
Shailesh Haribhakti,0.0,0.0,1,1,2017.0,0
Orient BlackSwan,2.88,2.88,1,1,2017.0,0
Rahul Agarwalla,0.0,0.0,1,1,2017.0,0
Keshav Sanghi,2.145,4.29,2,2,2016.0,4
